I (29) boot: ESP-IDF v5.5.5 2nd stage bootloader
I (29) boot: compile time Sep  7 2026 16:56:27
I (29) boot: Multicore bootloader
I (31) boot: chip revision: v3.0
I (33) boot.esp32: SPI Speed      : 40MHz
I (37) boot.esp32: SPI Mode       : DIO
I (41) boot.esp32: SPI Flash Size : 2MB
I (44) boot: Enabling RNG early entropy source...
I (49) boot: Partition Table:
I (51) boot: ## Label            Usage          Type ST Offset   Length
I (58) boot:  0 nvs              WiFi data        01 02 00009000 00006000
I (64) boot:  1 phy_init         RF data          01 01 0000f000 00001000
I (71) boot:  2 factory          factory app      00 00 00010000 00100000
I (77) boot: End of partition table
I (81) esp_image: segment 0: paddr=00010020 vaddr=3f400020 size=0a208h ( 41480) map
I (102) esp_image: segment 1: paddr=0001a230 vaddr=3ffb0000 size=02854h ( 10324) load
I (106) esp_image: segment 2: paddr=0001ca8c vaddr=40080000 size=0358ch ( 13708) load
I (112) esp_image: segment 3: paddr=00020020 vaddr=400d0020 size=11b00h ( 72448) map
I (138) esp_image: segment 4: paddr=00031b28 vaddr=4008358c size=0a994h ( 43412) load
I (156) esp_image: segment 5: paddr=0003c4c4 vaddr=50000000 size=00020h (    32) load
I (163) boot: Loaded app from partition at offset 0x10000
I (163) boot: Disabling RNG early entropy source...
W (184) spi_flash: Detected size(4096k) larger than the size in the binary image header(2048k). Using the size in the binary image header.

ESP32 treadmill UART sniffer
ESP-IDF target: ESP32
UART1 RX: GPIO26, 1200 8N2
UART2 RX: GPIO27, 1200 8N2
TX: disabled / not routed
Output: <timestamp_us> <source> <hex-byte>
Errors: <timestamp_us> <source> ERROR <reason>

000001769393 GPIO26 00
000001771476 GPIO26 00
000001773559 GPIO26 14
000001775643 GPIO26 3C
000001777726 GPIO26 43
000001779809 GPIO26 68
000001781892 GPIO26 08
000001783976 GPIO26 20
000001786059 GPIO26 00
000001788142 GPIO26 00
000001790226 GPIO26 00
000001792309 GPIO26 00
000001794392 GPIO26 14
000001796476 GPIO26 3C
000001798559 GPIO26 43
000001837518 GPIO26 68
000001837635 GPIO26 08
000001837745 GPIO26 20
000001837854 GPIO26 00
000001837964 GPIO26 00
000001838074 GPIO26 00
000001838964 GPIO26 00
000001841048 GPIO26 14
000001843140 GPIO26 3C
000001845214 GPIO26 43
000001918389 GPIO27 68
000001918506 GPIO27 0C
000001918616 GPIO27 A0
000001918725 GPIO27 00
000001918835 GPIO27 00
000001918945 GPIO27 00
000001919835 GPIO27 00
000001921918 GPIO27 A0
000001924002 GPIO27 00
000001926085 GPIO27 00
000001928168 GPIO27 00
000001930252 GPIO27 00
000001932335 GPIO27 4C
000001934418 GPIO27 43
000002017516 GPIO26 68
000002017633 GPIO26 08
000002017743 GPIO26 20
000002017852 GPIO26 00
000002017962 GPIO26 00
000002018072 GPIO26 00
000002018962 GPIO26 00
000002021045 GPIO26 14
000002023137 GPIO26 3C
000002025212 GPIO26 43
000002138391 GPIO27 68
000002138508 GPIO27 0C
000002138618 GPIO27 A0
000002138727 GPIO27 00
000002138837 GPIO27 00
000002138947 GPIO27 00
000002139837 GPIO27 00
000002141921 GPIO27 9F
000002144004 GPIO27 00
000002146087 GPIO27 00
000002148170 GPIO27 00
000002150254 GPIO27 00
000002152337 GPIO27 4B
000002154420 GPIO27 43
000002358384 GPIO27 68
000002358501 GPIO27 0C
000002358611 GPIO27 A0
000002358721 GPIO27 00
000002358830 GPIO27 00
000002358940 GPIO27 00
000002359831 GPIO27 00
000002361914 GPIO27 9F
000002363997 GPIO27 00
000002366081 GPIO27 00
000002368164 GPIO27 00
000002370247 GPIO27 00
000002372330 GPIO27 4B
000002374414 GPIO27 43
000002578382 GPIO27 68
000002578499 GPIO27 0C
000002578609 GPIO27 A0
000002578719 GPIO27 00
000002578828 GPIO27 00
000002578938 GPIO27 00
000002579829 GPIO27 00
000002581912 GPIO27 9F
000002583995 GPIO27 00
000002586079 GPIO27 00
000002588162 GPIO27 00
000002590245 GPIO27 00
000002592329 GPIO27 4B
000002594412 GPIO27 43
000002798380 GPIO27 68
000002798497 GPIO27 0C
000002798607 GPIO27 A0
000002798716 GPIO27 00
000002798826 GPIO27 00
000002798936 GPIO27 00
000002799826 GPIO27 00
000002801910 GPIO27 9F
000002803993 GPIO27 00
000002806076 GPIO27 00
000002808160 GPIO27 00
000002810243 GPIO27 00
000002812326 GPIO27 4B
000002814410 GPIO27 43
000003018378 GPIO27 68
000003018495 GPIO27 0C
000003018605 GPIO27 A0
000003018714 GPIO27 00
000003018824 GPIO27 00
000003018934 GPIO27 00
000003019824 GPIO27 00
000003021908 GPIO27 9F
000003023991 GPIO27 00
000003026074 GPIO27 00
000003028158 GPIO27 00
000003030241 GPIO27 00
000003032324 GPIO27 4B
000003034408 GPIO27 43
000003090850 GPIO26 68
000003090967 GPIO26 08
000003091077 GPIO26 20
000003091186 GPIO26 00
000003091296 GPIO26 00
000003091406 GPIO26 00
000003092296 GPIO26 00
000003094379 GPIO26 14
000003096463 GPIO26 3C
000003098546 GPIO26 43
000003100629 GPIO26 68
000003102713 GPIO26 08
000003104796 GPIO26 20
000003106879 GPIO26 00
000003108962 GPIO26 00
000003111046 GPIO26 00
000003113137 GPIO26 00
000003115213 GPIO26 14
000003117296 GPIO26 3C
000003119379 GPIO26 43
000003121462 GPIO26 68
000003123546 GPIO26 08
000003125629 GPIO26 20
000003127712 GPIO26 00
000003129796 GPIO26 00
000003131879 GPIO26 00
000003133962 GPIO26 00
000003136046 GPIO26 14
000003138129 GPIO26 3C
000003140212 GPIO26 43
000003142296 GPIO26 68
000003144379 GPIO26 08
000003146462 GPIO26 20
000003148546 GPIO26 00
000003150629 GPIO26 00
000003152712 GPIO26 00
000003154795 GPIO26 00
000003156879 GPIO26 14
000003158962 GPIO26 3C
000003161045 GPIO26 43
000003163136 GPIO26 68
000003165212 GPIO26 08
000003167295 GPIO26 20
000003169379 GPIO26 00
000003171462 GPIO26 00
000003173545 GPIO26 00
000003175628 GPIO26 00
000003177712 GPIO26 14
000003179795 GPIO26 3C
000003181879 GPIO26 43
000003183962 GPIO26 68
000003186045 GPIO26 08
000003188129 GPIO26 20
000003190212 GPIO26 00
000003192295 GPIO26 00
000003194378 GPIO26 00
000003196462 GPIO26 00
000003198545 GPIO26 14
000003200628 GPIO26 3C
000003202712 GPIO26 43
000003238375 GPIO27 68
000003238493 GPIO27 0C
000003238603 GPIO27 A0
000003238712 GPIO27 00
000003238822 GPIO27 00
000003238932 GPIO27 00
000003239822 GPIO27 00
000003241905 GPIO27 9F
000003243988 GPIO27 00
000003246072 GPIO27 00
000003248155 GPIO27 00
000003250239 GPIO27 00
000003252322 GPIO27 4B
000003254405 GPIO27 43
000003270837 GPIO26 68
000003270954 GPIO26 08
000003271064 GPIO26 20
000003271173 GPIO26 00
000003271283 GPIO26 00
000003271393 GPIO26 00
000003272283 GPIO26 00
000003274367 GPIO26 14
000003276450 GPIO26 3C
000003278533 GPIO26 43
000003450835 GPIO26 68
000003450952 GPIO26 08
000003451062 GPIO26 20
000003451171 GPIO26 00
000003451281 GPIO26 00
000003451391 GPIO26 00
000003452281 GPIO26 00
000003454365 GPIO26 14
000003456448 GPIO26 3C
000003458369 GPIO27 68
000003458541 GPIO26 43
000003460624 GPIO27 0C
000003464781 GPIO27 A0
000003466864 GPIO27 00
000003468948 GPIO27 00
000003471031 GPIO27 00
000003473115 GPIO27 00
000003475198 GPIO27 9F
000003477281 GPIO27 00
000003479364 GPIO27 00
000003481448 GPIO27 00
000003483531 GPIO27 00
000003485614 GPIO27 4B
000003487697 GPIO27 43
000003678371 GPIO27 68
000003678488 GPIO27 0C
000003678598 GPIO27 A0
000003678707 GPIO27 00
000003678817 GPIO27 00
000003678927 GPIO27 00
000003679818 GPIO27 00
000003681901 GPIO27 9F
000003683984 GPIO27 00
000003686068 GPIO27 00
000003688151 GPIO27 00
000003690234 GPIO27 00
000003692317 GPIO27 4B
000003694401 GPIO27 43
000003898369 GPIO27 68
000003898486 GPIO27 0C
000003898596 GPIO27 A0
000003898705 GPIO27 00
000003898815 GPIO27 00
000003898925 GPIO27 00
000003899815 GPIO27 00
000003901899 GPIO27 9F
000003903982 GPIO27 00
000003906066 GPIO27 00
000003908149 GPIO27 00
000003910232 GPIO27 00
000003912315 GPIO27 4B
000003914399 GPIO27 43
000004118367 GPIO27 68
000004118484 GPIO27 0C
000004118594 GPIO27 A0
000004118703 GPIO27 00
000004118813 GPIO27 00
000004118923 GPIO27 00
000004119813 GPIO27 00
000004121897 GPIO27 9F
000004123980 GPIO27 00
000004126063 GPIO27 00
000004128147 GPIO27 00
000004130230 GPIO27 00
000004132313 GPIO27 4B
000004134396 GPIO27 43
000004338365 GPIO27 68
000004338482 GPIO27 0C
000004338592 GPIO27 A0
000004338701 GPIO27 00
000004338811 GPIO27 00
000004338921 GPIO27 00
000004339811 GPIO27 00
000004341895 GPIO27 9F
000004343978 GPIO27 00
000004346061 GPIO27 00
000004348145 GPIO27 00
000004350228 GPIO27 00
000004352311 GPIO27 4B
000004354395 GPIO27 43
000004558362 GPIO27 68
000004558480 GPIO27 0C
000004558590 GPIO27 A0
000004558699 GPIO27 00
000004558809 GPIO27 00
000004558919 GPIO27 00
000004559809 GPIO27 00
000004561892 GPIO27 9F
000004563975 GPIO27 00
000004566059 GPIO27 01
000004568142 GPIO27 00
000004570225 GPIO27 00
000004572309 GPIO27 4C
000004574392 GPIO27 43
000004704169 GPIO26 68
000004704286 GPIO26 08
000004704396 GPIO26 20
000004704506 GPIO26 00
000004704616 GPIO26 00
000004704726 GPIO26 00
000004705616 GPIO26 00
000004707699 GPIO26 14
000004709782 GPIO26 3C
000004711865 GPIO26 43
000004713949 GPIO26 68
000004716032 GPIO26 08
000004718115 GPIO26 20
000004720199 GPIO26 00
000004722282 GPIO26 00
000004724365 GPIO26 00
000004726449 GPIO26 00
000004728532 GPIO26 14
000004730615 GPIO26 3C
000004732699 GPIO26 43
000004734782 GPIO26 68
000004736865 GPIO26 08
000004738949 GPIO26 20
000004741032 GPIO26 00
000004743124 GPIO26 00
000004745199 GPIO26 00
000004747282 GPIO26 00
000004749365 GPIO26 14
000004751449 GPIO26 3C
000004753532 GPIO26 43
000004755615 GPIO26 68
000004757698 GPIO26 08
000004759782 GPIO26 20
000004761865 GPIO26 00
000004763948 GPIO26 00
000004766032 GPIO26 00
000004768115 GPIO26 00
000004770198 GPIO26 14
000004772281 GPIO26 3C
000004774365 GPIO26 43
000004776448 GPIO26 68
000004778356 GPIO27 68
000004778541 GPIO26 08
000004780624 GPIO27 0C
000004782707 GPIO26 20
000004784791 GPIO27 A0
000004786874 GPIO26 00
000004788957 GPIO27 00
000004793126 GPIO27 00
000004791041 GPIO26 00
000004795207 GPIO27 00
000004797291 GPIO26 00
000004799374 GPIO27 00
000004801457 GPIO26 00
000004803541 GPIO27 9F
000004805624 GPIO26 14
000004807707 GPIO27 00
000004809791 GPIO26 3C
000004811874 GPIO27 00
000004813957 GPIO26 43
000004816040 GPIO27 00
000004818124 GPIO26 68
000004820207 GPIO27 00
000004822290 GPIO26 08
000004824374 GPIO27 4B
000004826457 GPIO26 20
000004828540 GPIO27 43
000004830624 GPIO26 00
000004834781 GPIO26 00
000004836864 GPIO26 00
000004838948 GPIO26 00
000004841031 GPIO26 14
000004843123 GPIO26 3C
000004845198 GPIO26 43
000004847281 GPIO26 68
000004849364 GPIO26 08
000004851447 GPIO26 20
000004853531 GPIO26 00
000004855614 GPIO26 00
000004857697 GPIO26 00
000004859781 GPIO26 00
000004861864 GPIO26 14
000004863947 GPIO26 3C
000004866031 GPIO26 43
000004884154 GPIO26 68
000004884271 GPIO26 08
000004884381 GPIO26 20
000004884490 GPIO26 00
000004884600 GPIO26 00
000004884710 GPIO26 00
000004885600 GPIO26 00
000004887684 GPIO26 14
000004889767 GPIO26 3C
000004891850 GPIO26 43
000004998358 GPIO27 68
000004998475 GPIO27 0C
000004998585 GPIO27 A0
000004998695 GPIO27 00
000004998805 GPIO27 00
000004998915 GPIO27 00
000004999805 GPIO27 00
000005001888 GPIO27 9F
000005003971 GPIO27 00
000005006054 GPIO27 00
000005008138 GPIO27 00
000005010221 GPIO27 00
000005012304 GPIO27 4B
000005014388 GPIO27 43
000005218356 GPIO27 68
000005218473 GPIO27 0C
000005218583 GPIO27 A0
000005218692 GPIO27 00
000005218803 GPIO27 00
000005218913 GPIO27 00
000005219802 GPIO27 00
000005221886 GPIO27 9F
000005223969 GPIO27 00
000005226052 GPIO27 00
000005228136 GPIO27 00
000005230219 GPIO27 00
000005232302 GPIO27 4B
000005234386 GPIO27 43
000005438353 GPIO27 68
000005438471 GPIO27 0C
000005438581 GPIO27 A0
000005438690 GPIO27 00
000005438800 GPIO27 00
000005438910 GPIO27 00
000005439800 GPIO27 00
000005441883 GPIO27 9F
000005443967 GPIO27 00
000005446050 GPIO27 00
000005448133 GPIO27 00
000005450217 GPIO27 00
000005452300 GPIO27 4B
000005454383 GPIO27 43
000005658351 GPIO27 68
000005658469 GPIO27 0C
000005658579 GPIO27 A0
000005658688 GPIO27 00
000005658798 GPIO27 00
000005658908 GPIO27 00
000005659798 GPIO27 00
000005661881 GPIO27 9F
000005663965 GPIO27 00
000005666048 GPIO27 00
000005668131 GPIO27 00
000005670215 GPIO27 00
000005672298 GPIO27 4B
000005674381 GPIO27 43
000005878349 GPIO27 68
000005878466 GPIO27 0C
000005878576 GPIO27 A0
000005878686 GPIO27 00
000005878796 GPIO27 00
000005878906 GPIO27 00
000005879796 GPIO27 00
000005881879 GPIO27 9F
000005883962 GPIO27 00
000005886046 GPIO27 00
000005888129 GPIO27 00
000005890212 GPIO27 00
000005892296 GPIO27 4B
000005894379 GPIO27 43
000006098347 GPIO27 68
000006098464 GPIO27 0C
000006098574 GPIO27 A0
000006098684 GPIO27 00
000006098794 GPIO27 00
000006098904 GPIO27 00
000006099794 GPIO27 00
000006101877 GPIO27 9F
000006103960 GPIO27 00
000006106044 GPIO27 00
000006108127 GPIO27 00
000006110210 GPIO27 00
000006112294 GPIO27 4B
000006114377 GPIO27 43
000006137488 GPIO26 68
000006137605 GPIO26 08
000006137715 GPIO26 20
000006137824 GPIO26 00
000006137935 GPIO26 00
000006138045 GPIO26 00
000006138934 GPIO26 00
000006141018 GPIO26 14
000006143101 GPIO26 3C
000006145184 GPIO26 43
000006147268 GPIO26 68
000006149351 GPIO26 08
000006151434 GPIO26 20
000006153518 GPIO26 00
000006155601 GPIO26 00
000006157684 GPIO26 00
000006159768 GPIO26 00
000006161851 GPIO26 14
000006163934 GPIO26 3C
000006166018 GPIO26 43
000006168101 GPIO26 68
000006170184 GPIO26 08
000006172267 GPIO26 20
000006174351 GPIO26 00
000006176434 GPIO26 00
000006178517 GPIO26 00
000006180601 GPIO26 00
000006182684 GPIO26 14
000006184767 GPIO26 3C
000006186851 GPIO26 43
000006188934 GPIO26 68
000006191017 GPIO26 08
000006193101 GPIO26 20
000006195184 GPIO26 00
000006197267 GPIO26 00
000006199350 GPIO26 00
000006201434 GPIO26 00
000006203517 GPIO26 14
000006205600 GPIO26 3C
000006207684 GPIO26 43
000006209767 GPIO26 68
000006211850 GPIO26 08
000006213934 GPIO26 20
000006216017 GPIO26 00
000006218100 GPIO26 00
000006220184 GPIO26 00
000006222267 GPIO26 00
000006224350 GPIO26 14
000006226434 GPIO26 3C
000006228517 GPIO26 43
000006230600 GPIO26 68
000006232684 GPIO26 08
000006234767 GPIO26 20
000006236850 GPIO26 00
000006238933 GPIO26 00
000006241017 GPIO26 00
000006243100 GPIO26 00
000006245183 GPIO26 14
000006247267 GPIO26 3C
000006249350 GPIO26 43
000006251433 GPIO26 68
000006253517 GPIO26 08
000006255600 GPIO26 20
000006257683 GPIO26 00
000006259767 GPIO26 00
000006261850 GPIO26 00
000006263933 GPIO26 00
000006266017 GPIO26 14
000006268100 GPIO26 3C
000006270183 GPIO26 43
000006317473 GPIO26 68
000006317590 GPIO26 08
000006317700 GPIO26 20
000006317809 GPIO26 00
000006317919 GPIO26 00
000006318029 GPIO26 00
000006318341 GPIO27 68
000006318929 GPIO26 00
000006321012 GPIO27 0C
000006323095 GPIO26 14
000006325179 GPIO27 A0
000006327262 GPIO26 3C
000006329345 GPIO27 00
000006331429 GPIO26 43
000006333512 GPIO27 00
000006337669 GPIO27 00
000006339752 GPIO27 00
000006341836 GPIO27 9F
000006343919 GPIO27 00
000006346002 GPIO27 00
000006348086 GPIO27 00
000006350169 GPIO27 00
000006352252 GPIO27 4B
000006354336 GPIO27 43
000006538343 GPIO27 68
000006538460 GPIO27 0C
000006538570 GPIO27 A0
000006538679 GPIO27 00
000006538790 GPIO27 00
000006538900 GPIO27 00
000006539789 GPIO27 00
000006541873 GPIO27 9F
000006543956 GPIO27 00
000006546039 GPIO27 00
000006548123 GPIO27 00
000006550206 GPIO27 00
000006552289 GPIO27 4B
000006554373 GPIO27 43
000006758340 GPIO27 68
000006758458 GPIO27 0C
000006758568 GPIO27 A0
000006758677 GPIO27 00
000006758787 GPIO27 00
000006758897 GPIO27 00
000006759787 GPIO27 00
000006761870 GPIO27 9F
000006763954 GPIO27 00
000006766037 GPIO27 00
000006768120 GPIO27 00
000006770203 GPIO27 00
000006772287 GPIO27 4B
000006774370 GPIO27 43
000006978338 GPIO27 68
000006978456 GPIO27 0C
000006978566 GPIO27 A0
000006978675 GPIO27 00
000006978785 GPIO27 00
000006978895 GPIO27 00
000006979785 GPIO27 00
000006981868 GPIO27 9F
000006983952 GPIO27 00
000006986035 GPIO27 00
000006988118 GPIO27 00
000006990201 GPIO27 00
000006992285 GPIO27 4B
000006994368 GPIO27 43
000007198336 GPIO27 68
000007198453 GPIO27 0C
000007198563 GPIO27 A0
000007198673 GPIO27 00
000007198783 GPIO27 00
000007198893 GPIO27 00
000007199783 GPIO27 00
000007201866 GPIO27 9F
000007203949 GPIO27 00
000007206032 GPIO27 00
000007208116 GPIO27 00
000007210199 GPIO27 00
000007212282 GPIO27 4B
000007214366 GPIO27 43
000007418334 GPIO27 68
000007418451 GPIO27 0C
000007418561 GPIO27 A0
000007418671 GPIO27 00
000007418781 GPIO27 00
000007418891 GPIO27 00
000007419780 GPIO27 00
000007421864 GPIO27 A0
000007423947 GPIO27 00
000007426030 GPIO27 00
000007428114 GPIO27 00
000007430197 GPIO27 00
000007432280 GPIO27 4C
000007434364 GPIO27 43
000007570807 GPIO26 68
000007570924 GPIO26 08
000007571034 GPIO26 20
000007571144 GPIO26 00
000007571254 GPIO26 00
000007571364 GPIO26 00
000007572254 GPIO26 00
000007574337 GPIO26 14
000007576420 GPIO26 3C
000007578504 GPIO26 43
000007580587 GPIO26 68
000007582670 GPIO26 08
000007584753 GPIO26 20
000007586837 GPIO26 00
000007588920 GPIO26 00
000007591003 GPIO26 00
000007593087 GPIO26 00
000007595170 GPIO26 14
000007597253 GPIO26 3C
000007599337 GPIO26 43
000007601420 GPIO26 68
000007603503 GPIO26 08
000007605587 GPIO26 20
000007607670 GPIO26 00
000007609753 GPIO26 00
000007611837 GPIO26 00
000007613920 GPIO26 00
000007616003 GPIO26 14
000007618086 GPIO26 3C
000007620170 GPIO26 43
000007622253 GPIO26 68
000007624336 GPIO26 08
000007626420 GPIO26 20
000007628503 GPIO26 00
000007630586 GPIO26 00
000007632670 GPIO26 00
000007634753 GPIO26 00
000007636836 GPIO26 14
000007638327 GPIO27 68
000007638929 GPIO26 3C
000007641012 GPIO27 0C
000007643096 GPIO26 43
000007645179 GPIO27 A0
000007647262 GPIO26 68
000007649346 GPIO27 00
000007651429 GPIO26 08
000007653512 GPIO27 00
000007655595 GPIO26 20
000007657679 GPIO27 00
000007659762 GPIO26 00
000007661845 GPIO27 00
000007663929 GPIO26 00
000007666012 GPIO27 A0
000007668095 GPIO26 00
000007670179 GPIO27 00
000007672262 GPIO26 00
000007674345 GPIO27 00
000007676429 GPIO26 14
000007678512 GPIO27 00
000007680595 GPIO26 3C
000007682679 GPIO27 00
